Player_1,Player_2,Player_3,Player_4,Player_5,Player_6,Player_7,Player_8,Player_9,Player_10

"[4403269132, 'Adarladorri', 155, 88, 'JUNGLE', 'CHALLENGER', 'I', 861, False, False, 54, 'SummonerFlash', 'SummonerSmite', 'MonkeyKing']","[4403269132, 'Huo Guo Xiao Zi', 94, 88, 'MIDDLE', 'GRANDMASTER', 'I', 524, False, False, 139, 'SummonerFlash', 'SummonerHaste', 'Annie']","[4403269132, 'SandPaperX', 319, 290, 'UTILITY', 'GRANDMASTER', 'I', 779, False, False, 517, 'SummonerFlash', 'SummonerDot', 'Renata']","[4403269132, 'only for myself', 596, 530, 'TOP', 'CHALLENGER', 'I', 904, False, True, 173, 'SummonerFlash', 'SummonerTeleport', 'Cassiopeia']","[4403269132, 'Fishlord', 471, 420, 'BOTTOM', 'CHALLENGER', 'I', 1155, True, False, 570, 'SummonerFlash', 'SummonerHaste', 'Swain']","[4403269132, 'I am Súnlight', 277, 234, 'MIDDLE', 'CHALLENGER', 'I', 1227, True, False, 671, 'SummonerHaste', 'SummonerFlash', 'Garen']"

"[4406236362, 'Top12', 170, 152, 'TOP', 'GRANDMASTER', 'I', 670, True, False, 286, 'SummonerFlash', 'SummonerHaste', 'Darius']","[4406236362, 'I Love Chara', 225, 208, 'JUNGLE', 'GRANDMASTER', 'I', 483, False, False, 416, 'SummonerFlash', 'SummonerSmite', 'Khazix']","[4406236362, 'ttv Tempest', 166, 117, 'MIDDLE', 'CHALLENGER', 'I', 1120, False, False, 62, 'SummonerFlash', 'SummonerTeleport', 'Azir']","[4406236362, 'Eyes Of Blue', 83, 99, 'BOTTOM', 'DIAMOND', 'II', 64, False, False, 198, 'SummonerFlash', 'SummonerHaste', 'Sivir']","[4406236362, 'Debraj', 226, 195, 'UTILITY', 'GRANDMASTER', 'I', 710, True, False, 288, 'SummonerHeal', 'SummonerFlash', 'Soraka']","[4406236362, 'Lucaserlw', 214, 172, 'TOP', 'GRANDMASTER', 'I', 576, False, False, 625, 'SummonerFlash', 'SummonerDot', 'Olaf']","[4406236362, 'MasKa', 155, 132, 'JUNGLE', 'GRANDMASTER', 'I', 518, True, False, 62, 'SummonerHaste', 'SummonerSmite', 'Graves']","[4406236362, 'UCI XiaoDanny', 932, 868, 'MIDDLE', 'CHALLENGER', 'I', 960, True, True, 661, 'SummonerTeleport', 'SummonerFlash', 'Sylas']","[4406236362, 'Scenari0', 180, 175, 'BOTTOM', 'GRANDMASTER', 'I', 493, True, False, 234, 'SummonerFlash', 'SummonerHeal', 'Ezreal']","[4406236362, 'l7l', 510, 459, 'UTILITY', 'GRANDMASTER', 'I', 620, False, False, 325, 'SummonerFlash', 'SummonerHaste', 'Ashe']"

"[4406814109, 'Boyru', 182, 163, 'TOP', 'GRANDMASTER', 'I', 484, False, False, 134, 'SummonerTeleport', 'SummonerFlash', 'LeeSin']","[4406814109, 'wow player 123', 244, 168, 'JUNGLE', 'CHALLENGER', 'I', 1517, True, True, 79, 'SummonerHaste', 'SummonerSmite', 'Olaf']","[4406814109, 'ChesterwMiIxO', 127, 92, 'MIDDLE', 'GRANDMASTER', 'I', 546, False, True, 49, 'SummonerFlash', 'SummonerTeleport', 'Orianna']","[4406814109, 'Navigation1', 823, 800, 'BOTTOM', 'MASTER', 'I', 402, False, False, 562, 'SummonerExhaust', 'SummonerFlash', 'Ezreal']","[4406814109, 'Clarrisa', 120, 99, 'UTILITY', 'MASTER', 'I', 437, False, False, 167, 'SummonerFlash', 'SummonerHeal', 'Janna']","[4406814109, 'Babjwo BBQ', 123, 98, 'TOP', 'DIAMOND', 'I', 75, False, False, 180, 'SummonerFlash', 'SummonerDot', 'Jayce']","[4406814109, 'shochi', 717, 677, 'JUNGLE', 'CHALLENGER', 'I', 1034, True, False, 261, 'SummonerFlash', 'SummonerSmite', 'Poppy']","[4406814109, 'Tokiyami', 265, 227, 'MIDDLE', 'GRANDMASTER', 'I', 836, False, False, 111, 'SummonerDot', 'SummonerFlash', 'Akali']","[4406814109, 'Draven baka', 768, 736, 'BOTTOM', 'GRANDMASTER', 'I', 677, False, False, 823, 'SummonerHeal', 'SummonerFlash', 'Draven']","[4406814109, 'Tulz1', 60, 42, 'UTILITY', 'MASTER', 'I', 280, False, False, 39, 'SummonerFlash', 'SummonerDot', 'Nautilus']"

"[4403191279, 'Jauny12', 362, 323, 'TOP', 'CHALLENGER', 'I', 1031, True, False, 425, 'SummonerTeleport', 'SummonerDot', 'Sejuani']","[4403191279, 'SSSean', 311, 290, 'MIDDLE', 'GRANDMASTER', 'I', 722, False, False, 457, 'SummonerHaste', 'SummonerFlash', 'Vladimir']","[4403191279, 'itzz Wags 2', 457, 422, 'BOTTOM', 'CHALLENGER', 'I', 867, False, False, 301, 'SummonerHeal', 'SummonerFlash', 'Jhin']","[4403191279, 'Geiger', 734, 712, 'TOP', 'CHALLENGER', 'I', 875, False, True, 1207, 'SummonerFlash', 'SummonerTeleport', 'Gragas']","[4403191279, 'Izateylon', 480, 447, 'JUNGLE', 'GRANDMASTER', 'I', 838, False, False, 603, 'SummonerSmite', 'SummonerFlash', 'Viego']","[4403191279, 'Inumerable', 852, 824, 'MIDDLE', 'GRANDMASTER', 'I', 615, False, False, 569, 'SummonerDot', 'SummonerFlash', 'Zoe']","[4403191279, 'ReXpeita', 231, 172, 'BOTTOM', 'CHALLENGER', 'I', 1552, True, True, 62, 'SummonerFlash', 'SummonerHeal', 'Draven']","[4403191279, 'Sushee', 270, 228, 'UTILITY', 'CHALLENGER', 'I', 880, False, False, 733, 'SummonerFlash', 'SummonerExhaust', 'Nami']"

"[4405451713, 'Mekazen', 393, 373, 'TOP', 'GRANDMASTER', 'I', 495, True, False, 224, 'SummonerDot', 'SummonerFlash', 'Rumble']","[4405451713, 'Artorias X', 1001, 958, 'JUNGLE', 'GRANDMASTER', 'I', 774, False, False, 319, 'SummonerFlash', 'SummonerSmite', 'Belveth']","[4405451713, 'zykorocksplutx', 1143, 1107, 'MIDDLE', 'CHALLENGER', 'I', 898, False, False, 547, 'SummonerFlash', 'SummonerDot', 'Syndra']","[4405451713, '400 DEMONS', 86, 69, 'BOTTOM', 'GRANDMASTER', 'I', 582, False, False, 69, 'SummonerHeal', 'SummonerFlash', 'Caitlyn']","[4405451713, 'AMT', 212, 165, 'UTILITY', 'GRANDMASTER', 'I', 694, False, False, 507, 'SummonerFlash', 'SummonerDot', 'Morgana']","[4405451713, 'Doepico', 77, 35, 'TOP', 'DIAMOND', 'I', 50, False, False, 42, 'SummonerTeleport', 'SummonerFlash', 'Gangplank']","[4405451713, 'Timescrollnom', 132, 98, 'JUNGLE', 'GRANDMASTER', 'I', 796, True, True, 131, 'SummonerFlash', 'SummonerSmite', 'Ekko']","[4405451713, 'AddictedToBacon', 583, 563, 'MIDDLE', 'GRANDMASTER', 'I', 488, False, False, 583, 'SummonerDot', 'SummonerFlash', 'Annie']","[4405451713, 'Karen Osp fan', 292, 242, 'BOTTOM', 'CHALLENGER', 'I', 1034, False, False, 256, 'SummonerFlash', 'SummonerBoost', 'Jinx']","[4405451713, 'rocks908', 516, 466, 'UTILITY', 'CHALLENGER', 'I', 1196, True, True, 465, 'SummonerFlash', 'SummonerDot', 'Bard']"
