Player_1,Player_2,Player_3,Player_4,Player_5,Player_6,Player_7,Player_8,Player_9,Player_10
"[4403191279, 'Sejuani', 2, 4, 2, False, 151, 19, 12]","[4403191279, 'Vladimir', 3, 4, 4, False, 149, 39, 11]","[4403191279, 'Jhin', 2, 10, 9, False, 95, 1, 12]","[4403191279, 'Gragas', 0, 5, 5, True, 108, 3, 9]","[4403191279, 'Viego', 10, 2, 3, True, 21, 40, 25]","[4403191279, 'Zoe', 6, 1, 7, True, 139, 40, 11]","[4403191279, 'Draven', 14, 7, 10, True, 153, 20, 4]","[4403191279, 'Nami', 3, 4, 25, True, 16, 27, 50]"

"[4405451713, 'Rumble', 4, 4, 2, True, 107, 10, 13]","[4405451713, 'Belveth', 4, 0, 6, True, 33, 10, 7]","[4405451713, 'Syndra', 7, 3, 5, True, 156, 34, 11]","[4405451713, 'Caitlyn', 5, 0, 5, True, 149, 47, 11]","[4405451713, 'Morgana', 1, 1, 11, True, 14, 15, 36]","[4405451713, 'Gangplank', 2, 5, 2, False, 124, 4, 7]","[4405451713, 'Ekko', 2, 1, 2, False, 43, 14, 10]","[4405451713, 'Annie', 4, 6, 0, False, 99, 12, 7]","[4405451713, 'Jinx', 0, 3, 0, False, 154, 6, 10]","[4405451713, 'Bard', 0, 6, 1, False, 6, 19, 34]"

"[4401465193, 'Jax', 2, 5, 8, False, 160, 53, 23]","[4401465193, 'Karthus', 16, 9, 7, False, 53, 44, 6]","[4401465193, 'Vex', 3, 10, 10, False, 158, 8, 17]","[4401465193, 'Lucian', 5, 9, 11, False, 176, 46, 18]","[4401465193, 'Zilean', 3, 5, 16, False, 31, 16, 58]","[4401465193, 'Akali', 8, 8, 4, True, 195, 46, 16]","[4401465193, 'Hecarim', 15, 3, 10, True, 56, 40, 15]","[4401465193, 'Shen', 6, 6, 16, True, 147, 46, 27]","[4401465193, 'Kalista', 7, 6, 14, True, 195, 51, 27]","[4401465193, 'Karma', 2, 6, 19, True, 20, 111, 83]"

"[4405841125, 'Irelia', 3, 5, 1, False, 188, 14, 12]","[4405841125, 'Kayn', 0, 6, 3, False, 11, 31, 25]","[4405841125, 'Viktor', 1, 1, 5, False, 197, 31, 25]","[4405841125, 'Varus', 3, 5, 2, False, 166, 1, 8]","[4405841125, 'Leona', 4, 3, 6, False, 30, 18, 55]","[4405841125, 'Yone', 7, 0, 3, True, 199, 3, 12]","[4405841125, 'LeeSin', 4, 3, 7, True, 9, 29, 16]","[4405841125, 'Anivia', 4, 4, 4, True, 130, 37, 15]","[4405841125, 'Kaisa', 5, 0, 2, True, 213, 3, 14]","[4405841125, 'Soraka', 0, 4, 9, True, 12, 9, 42]"

"[4404100501, 'Sivir', 4, 4, 5, True, 170, 43, 18]","[4404100501, 'Taliyah', 6, 5, 10, True, 46, 160, 29]","[4404100501, 'Teemo', 2, 3, 5, True, 166, 27, 17]","[4404100501, 'Kled', 9, 5, 7, True, 154, 4, 13]","[4404100501, 'Seraphine', 1, 2, 14, True, 15, 5, 62]","[4404100501, 'Yone', 7, 2, 5, False, 192, 62, 19]","[4404100501, 'Viego', 6, 4, 6, False, 16, 23, 31]","[4404100501, 'Syndra', 1, 10, 4, False, 181, 20, 13]","[4404100501, 'Zeri', 4, 4, 5, False, 244, 31, 19]"

"[4401297596, 'Darius', 2, 4, 1, False, 210, 35, 19]","[4401297596, 'Khazix', 6, 3, 4, False, 30, 51, 24]","[4401297596, 'Leblanc', 2, 5, 2, False, 160, 88, 19]","[4401297596, 'MasterYi', 6, 8, 2, False, 148, 36, 10]","[4401297596, 'Lulu', 0, 4, 11, False, 25, 7, 67]","[4401297596, 'Akali', 6, 2, 6, True, 195, 43, 16]","[4401297596, 'Tryndamere', 5, 5, 9, True, 48, 14, 15]","[4401297596, 'Irelia', 5, 5, 5, True, 215, 35, 17]","[4401297596, 'Twitch', 7, 3, 7, True, 174, 58, 25]","[4401297596, 'Janna', 1, 1, 19, True, 9, 45, 58]"

"[4404432146, 'Darius', 0, 5, 0, False, 93, 5, 6]","[4404432146, 'Nidalee', 2, 7, 3, False, 9, 75, 15]","[4404432146, 'Ahri', 2, 5, 1, False, 88, 15, 6]","[4404432146, 'Ezreal', 4, 6, 2, False, 71, 32, 3]","[4404432146, 'Karma', 1, 5, 3, False, 9, 14, 22]","[4404432146, 'Camille', 5, 1, 2, True, 105, 20, 9]","[4404432146, 'Evelynn', 8, 0, 3, True, 6, 32, 10]","[4404432146, 'Vladimir', 5, 2, 5, True, 123, 16, 7]","[4404432146, 'Nautilus', 2, 3, 16, True, 24, 17, 24]","[4404432146, 'Jhin', 8, 3, 3, True, 105, 18, 11]"

"[4404806636, 'Akshan', 6, 5, 10, True, 192, 18, 20]","[4404806636, 'Pantheon', 4, 4, 4, True, 38, 23, 33]","[4404806636, 'Veigar', 14, 1, 4, True, 238, 18, 27]","[4404806636, 'Aphelios', 9, 3, 11, True, 196, 1, 36]","[4404806636, 'Karma', 0, 4, 21, True, 26, 84, 70]","[4404806636, 'Singed', 2, 5, 4, False, 181, 11, 19]","[4404806636, 'Trundle', 3, 6, 8, False, 52, 103, 32]","[4404806636, 'Lucian', 3, 4, 3, False, 259, 30, 30]","[4404806636, 'Kalista', 4, 9, 5, False, 138, 48, 23]","[4404806636, 'Zyra', 5, 9, 8, False, 35, 12, 71]"

